academic_item,applies_to_all_offerings,code,type
C10382,True,087788F,CRICOS
C10383,True,087789E,CRICOS
C10383,True,087789E,CRICOS
C10383,True,087789E,CRICOS
C10383,True,087789E,CRICOS
C10383,True,087789E,CRICOS
C10383,True,087789E,CRICOS
C10386,True,092380K,CRICOS
C10386,True,092380K,CRICOS
C10386,True,092380K,CRICOS
C10386,True,092380K,CRICOS
C10386,True,092380K,CRICOS
C10386,True,092380K,CRICOS
C10386,True,092380K,CRICOS
C10386,True,092380K,CRICOS
C10387,True,092381J,CRICOS
C10387,True,092381J,CRICOS
C10387,True,092381J,CRICOS
C10387,True,092381J,CRICOS
C10387,True,092381J,CRICOS
C10387,True,092381J,CRICOS
C10387,True,092381J,CRICOS
C10387,True,092381J,CRICOS
C10387,True,092381J,CRICOS
C10387,True,092381J,CRICOS
C10388,True,092382G,CRICOS
C10388,True,092382G,CRICOS
C10389,True,092383G,CRICOS
C10389,True,092383G,CRICOS
C10389,True,092383G,CRICOS
C10389,True,092383G,CRICOS
C10389,True,092383G,CRICOS
C10389,True,092383G,CRICOS
