academic_item,applies_to_all_offerings,code,type
C04255,TRUE,080952M,CRICOS
C04419,TRUE,107830F,CRICOS
C07122,TRUE,080597C,CRICOS
C11281,TRUE,107947D,CRICOS
C06129,TRUE,098388J,CRICOS
C10378,TRUE,087782A,CRICOS
C04238,TRUE,061285K,CRICOS
C03049,TRUE,052680G,CRICOS
C04264,TRUE,080598B,CRICOS
C11281,TRUE,107947D,CRICOS
C06129,TRUE,098388J,CRICOS
C10382,TRUE,087788F,CRICOS
C04296,TRUE,084254E,CRICOS
C20056,TRUE,084260G,CRICOS
C03053,TRUE,076138J,CRICOS
C06115,TRUE,084262E,CRICOS
C07122,TRUE,080597C,CRICOS
C03062,TRUE,098382D,CRICOS
C06129,TRUE,098388J,CRICOS
C11199,TRUE,055277E,CRICOS
C11211,TRUE,064381G,CRICOS
C03048,TRUE,052679M,CRICOS
C04252,TRUE,074915M,CRICOS
C10323,TRUE,079753F,CRICOS
C06136,TRUE,101147,CRICOS
C04420,TRUE,102950E,CRICOS
C10457,TRUE,106661D,CRICOS
C10300,TRUE,080087C,CRICOS
C03024,TRUE,006407F,CRICOS
C10004,TRUE,044179J,CRICOS
C04325,TRUE,082831D,CRICOS
C10452,TRUE,106871E,CRICOS
C10172,TRUE,026806C,CRICOS
C03056,TRUE,086292E,CRICOS
C04423,TRUE,092411G,CRICOS
C10386,TRUE,092380K,CRICOS
C11239,TRUE,081085G,CRICOS
C11216,TRUE,071910G,CRICOS
C11247,TRUE,084252G,CRICOS
C04295,TRUE,084256C,CRICOS
C04296,TRUE,084254E,CRICOS
C10223,TRUE,079561C,CRICOS
C03057,TRUE,086291F,CRICOS
C10424,TRUE,103083B,CRICOS
C06110,TRUE,109001E,CRICOS
C04294,TRUE,084258A,CRICOS
C10122,TRUE,019877B,CRICOS
C04300,TRUE,084263D,CRICOS
C04370,TRUE,109317G,CRICOS
C04371,TRUE,096873A,CRICOS
C11216,TRUE,071910G,CRICOS
C11247,TRUE,084252G,CRICOS
C04296,TRUE,084254E,CRICOS
C20056,TRUE,084260G,CRICOS
