academic_item,applies_to_all_offerings,code,type,Status
C04264,True,080598B,CRICOS,Removed or Changed
C04264,True,080598B,CRICOS,Removed or Changed
C04264,True,080598B,CRICOS,Removed or Changed
C04264,True,080598B,CRICOS,Removed or Changed
C04264,True,080598B,CRICOS,Removed or Changed
C04264,True,080598B,CRICOS,Removed or Changed
C04264,True,080598B,CRICOS,Removed or Changed
C04264,True,080598B,CRICOS,Removed or Changed
C10382,True,087788F,CRICOS,Removed or Changed
C10382,True,087788F,CRICOS,Removed or Changed
C10382,True,087788F,CRICOS,Removed or Changed
C10382,True,087788F,CRICOS,Removed or Changed
C10382,True,087788F,CRICOS,Removed or Changed
C10382,True,087788F,CRICOS,Removed or Changed
C04296,True,084254E,CRICOS,Removed or Changed
C04296,True,084254E,CRICOS,Removed or Changed
C04296,True,084254E,CRICOS,Removed or Changed
C04296,True,084254E,CRICOS,Removed or Changed
C04296,True,084254E,CRICOS,Removed or Changed
C04296,True,084254E,CRICOS,Removed or Changed
C04296,True,084254E,CRICOS,Removed or Changed
C04296,True,084254E,CRICOS,Removed or Changed
C04296,True,084254E,CRICOS,Removed or Changed
C04296,True,084254E,CRICOS,Removed or Changed
C04296,True,084254E,CRICOS,Removed or Changed
C04296,True,084254E,CRICOS,Removed or Changed
C04296,True,084254E,CRICOS,Removed or Changed
C04296,True,084254E,CRICOS,Removed or Changed
C04296,True,084254E,CRICOS,Removed or Changed
C04296,True,084254E,CRICOS,Removed or Changed
C04296,True,084254E,CRICOS,Removed or Changed
C04296,True,084254E,CRICOS,Removed or Changed
C04296,True,084254E,CRICOS,Removed or Changed
C20056,True,084260G,CRICOS,Removed or Changed
C20056,True,084260G,CRICOS,Removed or Changed
C20056,True,084260G,CRICOS,Removed or Changed
C20056,True,084260G,CRICOS,Removed or Changed
C20056,True,084260G,CRICOS,Removed or Changed
C20056,True,084260G,CRICOS,Removed or Changed
C20056,True,084260G,CRICOS,Removed or Changed
C20056,True,084260G,CRICOS,Removed or Changed
C20056,True,084260G,CRICOS,Removed or Changed
C20056,True,084260G,CRICOS,Removed or Changed
C20056,True,084260G,CRICOS,Removed or Changed
C20056,True,084260G,CRICOS,Removed or Changed
C20056,True,084260G,CRICOS,Removed or Changed
C20056,True,084260G,CRICOS,Removed or Changed
C20056,True,084260G,CRICOS,Removed or Changed
C20056,True,084260G,CRICOS,Removed or Changed
C20056,True,084260G,CRICOS,Removed or Changed
C20056,True,084260G,CRICOS,Removed or Changed
C03053,True,076138J,CRICOS,Removed or Changed
C03053,True,076138J,CRICOS,Removed or Changed
C03053,True,076138J,CRICOS,Removed or Changed
C03053,True,076138J,CRICOS,Removed or Changed
C03053,True,076138J,CRICOS,Removed or Changed
C03053,True,076138J,CRICOS,Removed or Changed
C03053,True,076138J,CRICOS,Removed or Changed
C03053,True,076138J,CRICOS,Removed or Changed
C03053,True,076138J,CRICOS,Removed or Changed
C03053,True,076138J,CRICOS,Removed or Changed
C03053,True,076138J,CRICOS,Removed or Changed
C03053,True,076138J,CRICOS,Removed or Changed
C06115,True,084262E,CRICOS,Removed or Changed
C06115,True,084262E,CRICOS,Removed or Changed
C06115,True,084262E,CRICOS,Removed or Changed
C06115,True,084262E,CRICOS,Removed or Changed
C06115,True,084262E,CRICOS,Removed or Changed
C06115,True,084262E,CRICOS,Removed or Changed
C06115,True,084262E,CRICOS,Removed or Changed
C06115,True,084262E,CRICOS,Removed or Changed
C06115,True,084262E,CRICOS,Removed or Changed
C06115,True,084262E,CRICOS,Removed or Changed
C06115,True,084262E,CRICOS,Removed or Changed
C06115,True,084262E,CRICOS,Removed or Changed
C03062,True,098382D,CRICOS,Removed or Changed
C03062,True,098382D,CRICOS,Removed or Changed
C03062,True,098382D,CRICOS,Removed or Changed
C03062,True,098382D,CRICOS,Removed or Changed
C03062,True,098382D,CRICOS,Removed or Changed
C03062,True,098382D,CRICOS,Removed or Changed
C03062,True,098382D,CRICOS,Removed or Changed
C03062,True,098382D,CRICOS,Removed or Changed
C03062,True,098382D,CRICOS,Removed or Changed
C03062,True,098382D,CRICOS,Removed or Changed
C03062,True,098382D,CRICOS,Removed or Changed
C03062,True,098382D,CRICOS,Removed or Changed
C03062,True,098382D,CRICOS,Removed or Changed
C03062,True,098382D,CRICOS,Removed or Changed
C11199,True,055277E,CRICOS,Removed or Changed
C11199,True,055277E,CRICOS,Removed or Changed
C11199,True,055277E,CRICOS,Removed or Changed
C11199,True,055277E,CRICOS,Removed or Changed
C11199,True,055277E,CRICOS,Removed or Changed
C11199,True,055277E,CRICOS,Removed or Changed
C11199,True,055277E,CRICOS,Removed or Changed
C11211,True,064381G,CRICOS,Removed or Changed
C11211,True,064381G,CRICOS,Removed or Changed
C11211,True,064381G,CRICOS,Removed or Changed
C11211,True,064381G,CRICOS,Removed or Changed
C11211,True,064381G,CRICOS,Removed or Changed
C11211,True,064381G,CRICOS,Removed or Changed
C11211,True,064381G,CRICOS,Removed or Changed
C11211,True,064381G,CRICOS,Removed or Changed
C11211,True,064381G,CRICOS,Removed or Changed
C11211,True,064381G,CRICOS,Removed or Changed
C11211,True,064381G,CRICOS,Removed or Changed
C11211,True,064381G,CRICOS,Removed or Changed
C11211,True,064381G,CRICOS,Removed or Changed
C11211,True,064381G,CRICOS,Removed or Changed
C11211,True,064381G,CRICOS,Removed or Changed
C11211,True,064381G,CRICOS,Removed or Changed
C11211,True,064381G,CRICOS,Removed or Changed
C11211,True,064381G,CRICOS,Removed or Changed
C11211,True,064381G,CRICOS,Removed or Changed
C11211,True,064381G,CRICOS,Removed or Changed
C11211,True,064381G,CRICOS,Removed or Changed
C11211,True,064381G,CRICOS,Removed or Changed
C11211,True,064381G,CRICOS,Removed or Changed
C11211,True,064381G,CRICOS,Removed or Changed
C03048,True,052679M,CRICOS,Removed or Changed
C03048,True,052679M,CRICOS,Removed or Changed
C03048,True,052679M,CRICOS,Removed or Changed
C03048,True,052679M,CRICOS,Removed or Changed
C03048,True,052679M,CRICOS,Removed or Changed
C03048,True,052679M,CRICOS,Removed or Changed
C03048,True,052679M,CRICOS,Removed or Changed
C03048,True,052679M,CRICOS,Removed or Changed
C03048,True,052679M,CRICOS,Removed or Changed
C03048,True,052679M,CRICOS,Removed or Changed
C03048,True,052679M,CRICOS,Removed or Changed
C03048,True,052679M,CRICOS,Removed or Changed
C03048,True,052679M,CRICOS,Removed or Changed
C03048,True,052679M,CRICOS,Removed or Changed
C03048,True,052679M,CRICOS,Removed or Changed
C03048,True,052679M,CRICOS,Removed or Changed
C03048,True,052679M,CRICOS,Removed or Changed
C03048,True,052679M,CRICOS,Removed or Changed
C04252,True,074915M,CRICOS,Removed or Changed
C04252,True,074915M,CRICOS,Removed or Changed
C04252,True,074915M,CRICOS,Removed or Changed
C04252,True,074915M,CRICOS,Removed or Changed
C04252,True,074915M,CRICOS,Removed or Changed
C04252,True,074915M,CRICOS,Removed or Changed
C04252,True,074915M,CRICOS,Removed or Changed
C04252,True,074915M,CRICOS,Removed or Changed
C04252,True,074915M,CRICOS,Removed or Changed
C04252,True,074915M,CRICOS,Removed or Changed
C04252,True,074915M,CRICOS,Removed or Changed
C04252,True,074915M,CRICOS,Removed or Changed
C04252,True,074915M,CRICOS,Removed or Changed
C04252,True,074915M,CRICOS,Removed or Changed
C04252,True,074915M,CRICOS,Removed or Changed
C04252,True,074915M,CRICOS,Removed or Changed
C04252,True,074915M,CRICOS,Removed or Changed
C10323,True,079753F,CRICOS,Removed or Changed
C10323,True,079753F,CRICOS,Removed or Changed
C06136,True,101147,CRICOS,Removed or Changed
C06136,True,101147,CRICOS,Removed or Changed
C06136,True,101147,CRICOS,Removed or Changed
C06136,True,101147,CRICOS,Removed or Changed
C06136,True,101147,CRICOS,Removed or Changed
C06136,True,101147,CRICOS,Removed or Changed
C06136,True,101147,CRICOS,Removed or Changed
C06136,True,101147,CRICOS,Removed or Changed
C04420,True,102950E,CRICOS,Removed or Changed
C04420,True,102950E,CRICOS,Removed or Changed
C04420,True,102950E,CRICOS,Removed or Changed
C04420,True,102950E,CRICOS,Removed or Changed
C04420,True,102950E,CRICOS,Removed or Changed
C04420,True,102950E,CRICOS,Removed or Changed
C04420,True,102950E,CRICOS,Removed or Changed
C04420,True,102950E,CRICOS,Removed or Changed
C04420,True,102950E,CRICOS,Removed or Changed
C04420,True,102950E,CRICOS,Removed or Changed
C10457,True,106661D,CRICOS,Removed or Changed
C10457,True,106661D,CRICOS,Removed or Changed
C10457,True,106661D,CRICOS,Removed or Changed
C10457,True,106661D,CRICOS,Removed or Changed
C10300,True,080087C,CRICOS,Removed or Changed
C10300,True,080087C,CRICOS,Removed or Changed
C10300,True,080087C,CRICOS,Removed or Changed
C10300,True,080087C,CRICOS,Removed or Changed
C10300,True,080087C,CRICOS,Removed or Changed
C10300,True,080087C,CRICOS,Removed or Changed
C10300,True,080087C,CRICOS,Removed or Changed
C10300,True,080087C,CRICOS,Removed or Changed
C10300,True,080087C,CRICOS,Removed or Changed
C10300,True,080087C,CRICOS,Removed or Changed
C10300,True,080087C,CRICOS,Removed or Changed
C10300,True,080087C,CRICOS,Removed or Changed
C10300,True,080087C,CRICOS,Removed or Changed
C10300,True,080087C,CRICOS,Removed or Changed
C10300,True,080087C,CRICOS,Removed or Changed
C10300,True,080087C,CRICOS,Removed or Changed
C10300,True,080087C,CRICOS,Removed or Changed
C10300,True,080087C,CRICOS,Removed or Changed
C03024,True,006407F,CRICOS,Removed or Changed
C03024,True,006407F,CRICOS,Removed or Changed
C03024,True,006407F,CRICOS,Removed or Changed
C03024,True,006407F,CRICOS,Removed or Changed
C03024,True,006407F,CRICOS,Removed or Changed
C03024,True,006407F,CRICOS,Removed or Changed
C03024,True,006407F,CRICOS,Removed or Changed
C03024,True,006407F,CRICOS,Removed or Changed
C03024,True,006407F,CRICOS,Removed or Changed
C03024,True,006407F,CRICOS,Removed or Changed
C03024,True,006407F,CRICOS,Removed or Changed
C03024,True,006407F,CRICOS,Removed or Changed
C03024,True,006407F,CRICOS,Removed or Changed
C03024,True,006407F,CRICOS,Removed or Changed
C03024,True,006407F,CRICOS,Removed or Changed
C03024,True,006407F,CRICOS,Removed or Changed
C03024,True,006407F,CRICOS,Removed or Changed
C03024,True,006407F,CRICOS,Removed or Changed
C03024,True,006407F,CRICOS,Removed or Changed
C03024,True,006407F,CRICOS,Removed or Changed
C03024,True,006407F,CRICOS,Removed or Changed
C03024,True,006407F,CRICOS,Removed or Changed
C10004,True,044179J,CRICOS,Removed or Changed
C10004,True,044179J,CRICOS,Removed or Changed
C10004,True,044179J,CRICOS,Removed or Changed
C10004,True,044179J,CRICOS,Removed or Changed
C10004,True,044179J,CRICOS,Removed or Changed
C10004,True,044179J,CRICOS,Removed or Changed
C10004,True,044179J,CRICOS,Removed or Changed
C10004,True,044179J,CRICOS,Removed or Changed
C10004,True,044179J,CRICOS,Removed or Changed
C10004,True,044179J,CRICOS,Removed or Changed
C10004,True,044179J,CRICOS,Removed or Changed
C10004,True,044179J,CRICOS,Removed or Changed
C10004,True,044179J,CRICOS,Removed or Changed
C10004,True,044179J,CRICOS,Removed or Changed
C10004,True,044179J,CRICOS,Removed or Changed
C10004,True,044179J,CRICOS,Removed or Changed
C04325,True,082831D,CRICOS,Removed or Changed
C04325,True,082831D,CRICOS,Removed or Changed
C04325,True,082831D,CRICOS,Removed or Changed
C04325,True,082831D,CRICOS,Removed or Changed
C04325,True,082831D,CRICOS,Removed or Changed
C04325,True,082831D,CRICOS,Removed or Changed
C04325,True,082831D,CRICOS,Removed or Changed
C10452,True,106871E,CRICOS,Removed or Changed
C10452,True,106871E,CRICOS,Removed or Changed
C10452,True,106871E,CRICOS,Removed or Changed
C10452,True,106871E,CRICOS,Removed or Changed
C10452,True,106871E,CRICOS,Removed or Changed
C10452,True,106871E,CRICOS,Removed or Changed
C10452,True,106871E,CRICOS,Removed or Changed
C10452,True,106871E,CRICOS,Removed or Changed
C10172,True,026806C,CRICOS,Removed or Changed
C10172,True,026806C,CRICOS,Removed or Changed
C10172,True,026806C,CRICOS,Removed or Changed
C10172,True,026806C,CRICOS,Removed or Changed
C10172,True,026806C,CRICOS,Removed or Changed
C10172,True,026806C,CRICOS,Removed or Changed
C10172,True,026806C,CRICOS,Removed or Changed
C03056,True,086292E,CRICOS,Removed or Changed
C03056,True,086292E,CRICOS,Removed or Changed
C03056,True,086292E,CRICOS,Removed or Changed
C03056,True,086292E,CRICOS,Removed or Changed
C03056,True,086292E,CRICOS,Removed or Changed
C03056,True,086292E,CRICOS,Removed or Changed
C03056,True,086292E,CRICOS,Removed or Changed
C03056,True,086292E,CRICOS,Removed or Changed
C03056,True,086292E,CRICOS,Removed or Changed
C03056,True,086292E,CRICOS,Removed or Changed
C03056,True,086292E,CRICOS,Removed or Changed
C03056,True,086292E,CRICOS,Removed or Changed
C04423,True,092411G,CRICOS,Removed or Changed
C04423,True,092411G,CRICOS,Removed or Changed
C04423,True,092411G,CRICOS,Removed or Changed
C04423,True,092411G,CRICOS,Removed or Changed
C04423,True,092411G,CRICOS,Removed or Changed
C04423,True,092411G,CRICOS,Removed or Changed
C04423,True,092411G,CRICOS,Removed or Changed
C10386,True,092380K,CRICOS,Removed or Changed
C10386,True,092380K,CRICOS,Removed or Changed
C10386,True,092380K,CRICOS,Removed or Changed
C10386,True,092380K,CRICOS,Removed or Changed
C10386,True,092380K,CRICOS,Removed or Changed
C10386,True,092380K,CRICOS,Removed or Changed
C10386,True,092380K,CRICOS,Removed or Changed
C10386,True,092380K,CRICOS,Removed or Changed
C11239,True,081085G,CRICOS,Removed or Changed
C11239,True,081085G,CRICOS,Removed or Changed
C11239,True,081085G,CRICOS,Removed or Changed
C11239,True,081085G,CRICOS,Removed or Changed
C11239,True,081085G,CRICOS,Removed or Changed
C11239,True,081085G,CRICOS,Removed or Changed
C11239,True,081085G,CRICOS,Removed or Changed
C11239,True,081085G,CRICOS,Removed or Changed
C11239,True,081085G,CRICOS,Removed or Changed
C11239,True,081085G,CRICOS,Removed or Changed
C11239,True,081085G,CRICOS,Removed or Changed
C11239,True,081085G,CRICOS,Removed or Changed
C11239,True,081085G,CRICOS,Removed or Changed
C11239,True,081085G,CRICOS,Removed or Changed
C11239,True,081085G,CRICOS,Removed or Changed
C11239,True,081085G,CRICOS,Removed or Changed
C11239,True,081085G,CRICOS,Removed or Changed
C11239,True,081085G,CRICOS,Removed or Changed
C11239,True,081085G,CRICOS,Removed or Changed
C11239,True,081085G,CRICOS,Removed or Changed
C11239,True,081085G,CRICOS,Removed or Changed
C11239,True,081085G,CRICOS,Removed or Changed
C11239,True,081085G,CRICOS,Removed or Changed
C11239,True,081085G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11216,True,071910G,CRICOS,Removed or Changed
C11247,True,084252G,CRICOS,Removed or Changed
C11247,True,084252G,CRICOS,Removed or Changed
C11247,True,084252G,CRICOS,Removed or Changed
C11247,True,084252G,CRICOS,Removed or Changed
C11247,True,084252G,CRICOS,Removed or Changed
C11247,True,084252G,CRICOS,Removed or Changed
C11247,True,084252G,CRICOS,Removed or Changed
C11247,True,084252G,CRICOS,Removed or Changed
C11247,True,084252G,CRICOS,Removed or Changed
C11247,True,084252G,CRICOS,Removed or Changed
C11247,True,084252G,CRICOS,Removed or Changed
C11247,True,084252G,CRICOS,Removed or Changed
C11247,True,084252G,CRICOS,Removed or Changed
C11247,True,084252G,CRICOS,Removed or Changed
C11247,True,084252G,CRICOS,Removed or Changed
C11247,True,084252G,CRICOS,Removed or Changed
C11247,True,084252G,CRICOS,Removed or Changed
C11247,True,084252G,CRICOS,Removed or Changed
C11247,True,084252G,CRICOS,Removed or Changed
C11247,True,084252G,CRICOS,Removed or Changed
C11247,True,084252G,CRICOS,Removed or Changed
C11247,True,084252G,CRICOS,Removed or Changed
C11247,True,084252G,CRICOS,Removed or Changed
C11247,True,084252G,CRICOS,Removed or Changed
C04295,True,084256C,CRICOS,Removed or Changed
C04295,True,084256C,CRICOS,Removed or Changed
C04295,True,084256C,CRICOS,Removed or Changed
C04295,True,084256C,CRICOS,Removed or Changed
C04295,True,084256C,CRICOS,Removed or Changed
C04295,True,084256C,CRICOS,Removed or Changed
C04295,True,084256C,CRICOS,Removed or Changed
C04295,True,084256C,CRICOS,Removed or Changed
C04295,True,084256C,CRICOS,Removed or Changed
C04295,True,084256C,CRICOS,Removed or Changed
C04295,True,084256C,CRICOS,Removed or Changed
C04295,True,084256C,CRICOS,Removed or Changed
C04295,True,084256C,CRICOS,Removed or Changed
C04295,True,084256C,CRICOS,Removed or Changed
C04295,True,084256C,CRICOS,Removed or Changed
C04295,True,084256C,CRICOS,Removed or Changed
C04295,True,084256C,CRICOS,Removed or Changed
C04295,True,084256C,CRICOS,Removed or Changed
C04295,True,084256C,CRICOS,Removed or Changed
C10223,True,079561C,CRICOS,Removed or Changed
C10223,True,079561C,CRICOS,Removed or Changed
C10223,True,079561C,CRICOS,Removed or Changed
C10223,True,079561C,CRICOS,Removed or Changed
C10223,True,079561C,CRICOS,Removed or Changed
C10223,True,079561C,CRICOS,Removed or Changed
C10223,True,079561C,CRICOS,Removed or Changed
C10223,True,079561C,CRICOS,Removed or Changed
C10223,True,079561C,CRICOS,Removed or Changed
C10223,True,079561C,CRICOS,Removed or Changed
C10223,True,079561C,CRICOS,Removed or Changed
C10223,True,079561C,CRICOS,Removed or Changed
C10223,True,079561C,CRICOS,Removed or Changed
C10223,True,079561C,CRICOS,Removed or Changed
C03057,True,086291F,CRICOS,Removed or Changed
C03057,True,086291F,CRICOS,Removed or Changed
C03057,True,086291F,CRICOS,Removed or Changed
C03057,True,086291F,CRICOS,Removed or Changed
C03057,True,086291F,CRICOS,Removed or Changed
C03057,True,086291F,CRICOS,Removed or Changed
C03057,True,086291F,CRICOS,Removed or Changed
C03057,True,086291F,CRICOS,Removed or Changed
C03057,True,086291F,CRICOS,Removed or Changed
C03057,True,086291F,CRICOS,Removed or Changed
C03057,True,086291F,CRICOS,Removed or Changed
C03057,True,086291F,CRICOS,Removed or Changed
C10424,True,103083B,CRICOS,Removed or Changed
C10424,True,103083B,CRICOS,Removed or Changed
C10424,True,103083B,CRICOS,Removed or Changed
C10424,True,103083B,CRICOS,Removed or Changed
C10424,True,103083B,CRICOS,Removed or Changed
C10424,True,103083B,CRICOS,Removed or Changed
C10424,True,103083B,CRICOS,Removed or Changed
C10424,True,103083B,CRICOS,Removed or Changed
C10424,True,103083B,CRICOS,Removed or Changed
C10424,True,103083B,CRICOS,Removed or Changed
C06110,True,109001E,CRICOS,Removed or Changed
C06110,True,109001E,CRICOS,Removed or Changed
C06110,True,109001E,CRICOS,Removed or Changed
C06110,True,109001E,CRICOS,Removed or Changed
C06110,True,109001E,CRICOS,Removed or Changed
C06110,True,109001E,CRICOS,Removed or Changed
C06110,True,109001E,CRICOS,Removed or Changed
C06110,True,109001E,CRICOS,Removed or Changed
C06110,True,109001E,CRICOS,Removed or Changed
C06110,True,109001E,CRICOS,Removed or Changed
C06110,True,109001E,CRICOS,Removed or Changed
C06110,True,109001E,CRICOS,Removed or Changed
C06110,True,109001E,CRICOS,Removed or Changed
C06110,True,109001E,CRICOS,Removed or Changed
C06110,True,109001E,CRICOS,Removed or Changed
C06110,True,109001E,CRICOS,Removed or Changed
C06110,True,109001E,CRICOS,Removed or Changed
C06110,True,109001E,CRICOS,Removed or Changed
C06110,True,109001E,CRICOS,Removed or Changed
C06110,True,109001E,CRICOS,Removed or Changed
C06110,True,109001E,CRICOS,Removed or Changed
C06110,True,109001E,CRICOS,Removed or Changed
C04294,True,084258A,CRICOS,Removed or Changed
C04294,True,084258A,CRICOS,Removed or Changed
C04294,True,084258A,CRICOS,Removed or Changed
C04294,True,084258A,CRICOS,Removed or Changed
C10122,True,019877B,CRICOS,Removed or Changed
C10122,True,019877B,CRICOS,Removed or Changed
C10122,True,019877B,CRICOS,Removed or Changed
C10122,True,019877B,CRICOS,Removed or Changed
C10122,True,019877B,CRICOS,Removed or Changed
C10122,True,019877B,CRICOS,Removed or Changed
C10122,True,019877B,CRICOS,Removed or Changed
C10122,True,019877B,CRICOS,Removed or Changed
C10122,True,019877B,CRICOS,Removed or Changed
C10122,True,019877B,CRICOS,Removed or Changed
C10122,True,019877B,CRICOS,Removed or Changed
C10122,True,019877B,CRICOS,Removed or Changed
C04300,True,084263D,CRICOS,Removed or Changed
C04300,True,084263D,CRICOS,Removed or Changed
C04300,True,084263D,CRICOS,Removed or Changed
C04300,True,084263D,CRICOS,Removed or Changed
C04300,True,084263D,CRICOS,Removed or Changed
C04300,True,084263D,CRICOS,Removed or Changed
C04370,True,109317G,CRICOS,Removed or Changed
C04370,True,109317G,CRICOS,Removed or Changed
C04370,True,109317G,CRICOS,Removed or Changed
C04370,True,109317G,CRICOS,Removed or Changed
C04370,True,109317G,CRICOS,Removed or Changed
